Project Name : Project Name
Sample Name : Sample Name
Measurement No : 1
Measurement Time : 10/13/2021   10:43:23

Pixel   Wavelength(nm)    Intensity
 764         572.16      1359
 765         572.55      1370
 766         572.95      1372
 767         573.34      1344
 768         573.74      1346
 769         574.14      1366
 770         574.53      1355
 771         574.93      1366
 772         575.32      1363
 773         575.72      1314
 774         576.12      1331
 775         576.51      1341
 776         576.91      1310
 777         577.31      1294
 778         577.70      1332
 779         578.10      1300
 780         578.50      1274
 781         578.89      1296
 782         579.29      1275
 783         579.69      1267
 784         580.08      1262
 785         580.48      1279
 786         580.88      1218
 787         581.27      1248
 788         581.67      1244
 789         582.07      1231
 790         582.46      1195
 791         582.86      1232
 792         583.26      1210
 793         583.65      1213
 794         584.05      1222
 795         584.45      1209
 796         584.84      1222
 797         585.24      1223
 798         585.64      1204
 799         586.04      1204
 800         586.43      1226
 801         586.83      1210
 802         587.23      1203
 803         587.63      1199
 804         588.02      1215
 805         588.42      1209
 806         588.82      1190
 807         589.22      1207
 808         589.61      1198
 809         590.01      1182
 810         590.41      1209
 811         590.81      1188
 812         591.20      1174
 813         591.60      1169
 814         592.00      1186
 815         592.40      1174
 816         592.80      1160
 817         593.19      1134
 818         593.59      1151
 819         593.99      1121
 820         594.39      1109
 821         594.79      1105
 822         595.18      1116
 823         595.58      1125
 824         595.98      1089
 825         596.38      1106
 826         596.78      1074
 827         597.18      1070
 828         597.57      1055
 829         597.97      1051
 830         598.37      1051
 831         598.77      1044
 832         599.17      1034
 833         599.57      1023
 834         599.97      1011
 835         600.36      1001
 836         600.76      1004
 837         601.16       991
 838         601.56       985
 839         601.96       983
 840         602.36       972
 841         602.76       964
 842         603.16       949
 843         603.56       952
 844         603.95       957
 845         604.35       954
 846         604.75       935
 847         605.15       924
 848         605.55       925
 849         605.95       929
 850         606.35       910
 851         606.75       917
 852         607.15       907
 853         607.55       894
 854         607.95       903
 855         608.35       893
 856         608.75       883
 857         609.15       870
 858         609.55       867
 859         609.95       873
 860         610.35       858
 861         610.74       860
 862         611.14       859
 863         611.54       846
 864         611.94       825
 865         612.34       816
 866         612.74       825
 867         613.14       810
 868         613.54       788
 869         613.94       779
 870         614.34       783
 871         614.74       765
 872         615.14       752
 873         615.54       763
 874         615.94       744
 875         616.34       737
 876         616.74       726
 877         617.15       731
 878         617.55       712
 879         617.95       690
 880         618.35       701
 881         618.75       681
 882         619.15       668
 883         619.55       664
 884         619.95       660
 885         620.35       663
 886         620.75       637
 887         621.15       632
 888         621.55       621
 889         621.95       631
 890         622.35       599
 891         622.75       612
 892         623.15       618
 893         623.56       598
 894         623.96       577
 895         624.36       582
 896         624.76       593
 897         625.16       589
 898         625.56       578
 899         625.96       592
 900         626.36       561
 901         626.76       559
 902         627.17       564
 903         627.57       555
 904         627.97       552
 905         628.37       546
 906         628.77       548
 907         629.17       538
 908         629.57       539
 909         629.98       532
 910         630.38       526
 911         630.78       524
 912         631.18       509
 913         631.58       510
 914         631.98       513
 915         632.39       509
 916         632.79       495
 917         633.19       512
 918         633.59       490
 919         633.99       493
 920         634.39       487
 921         634.80       495
 922         635.20       471
