Project Name : Project Name
Sample Name : Sample Name
Measurement No : 1
Measurement Time : 10/13/2021   10:46:20

Pixel   Wavelength(nm)    Intensity
1249         768.45        36
1250         768.86        38
1251         769.27        45
1252         769.68        45
1253         770.10        37
1254         770.51        36
1255         770.92        37
1256         771.33        41
1257         771.75        38
1258         772.16        45
1259         772.57        37
1260         772.98        39
1261         773.40        39
1262         773.81        35
1263         774.22        37
1264         774.63        41
1265         775.05        45
1266         775.46        35
1267         775.87        40
1268         776.29        35
1269         776.70        39
1270         777.11        42
1271         777.52        41
1272         777.94        39
1273         778.35        36
1274         778.76        39
1275         779.18        37
1276         779.59        41
1277         780.00        35
1278         780.42        34
1279         780.83        38
1280         781.24        40
1281         781.66        37
1282         782.07        42
1283         782.48        44
1284         782.90        40
1285         783.31        37
1286         783.72        39
1287         784.14        38
1288         784.55        39
1289         784.96        36
1290         785.38        33
1291         785.79        39
1292         786.20        40
1293         786.62        41
1294         787.03        42
1295         787.44        37
1296         787.86        40
1297         788.27        34
1298         788.69        36
1299         789.10        40
1300         789.51        33
1301         789.93        36
1302         790.34        40
1303         790.75        46
1304         791.17        41
1305         791.58        34
1306         792.00        42
1307         792.41        41
1308         792.82        32
1309         793.24        36
1310         793.65        38
1311         794.07        40
1312         794.48        35
1313         794.89        48
1314         795.31        35
1315         795.72        40
1316         796.14        31
1317         796.55        39
1318         796.96        43
1319         797.38        39
1320         797.79        40
1321         798.21        27
1322         798.62        37
1323         799.04        38
1324         799.45        38
1325         799.86        35
1326         800.28        31
1327         800.69        27
1328         801.11        36
1329         801.52        32
1330         801.94        36
1331         802.35        32
1332         802.77        36
1333         803.18        37
1334         803.59        42
1335         804.01        38
1336         804.42        37
1337         804.84        34
1338         805.25        31
1339         805.67        38
1340         806.08        32
1341         806.50        32
1342         806.91        33
1343         807.33        30
1344         807.74        33
1345         808.16        30
1346         808.57        30
1347         808.99        36
1348         809.40        34
1349         809.82        36
1350         810.23        27
1351         810.65        36
1352         811.06        34
1353         811.48        33
1354         811.89        33
1355         812.31        35
1356         812.72        34
1357         813.14        25
1358         813.55        29
1359         813.97        30
1360         814.38        32
1361         814.80        30
1362         815.21        31
1363         815.63        29
1364         816.04        33
1365         816.46        34
1366         816.87        33
1367         817.29        32
1368         817.70        37
1369         818.12        33
1370         818.54        36
1371         818.95        35
1372         819.37        31
1373         819.78        27
1374         820.20        31
1375         820.61        35
1376         821.03        25
1377         821.44        27
1378         821.86        22
1379         822.28        35
1380         822.69        28
1381         823.11        27
1382         823.52        31
1383         823.94        31
1384         824.35        29
1385         824.77        34
1386         825.19        35
1387         825.60        32
1388         826.02        32
1389         826.43        32
1390         826.85        30
1391         827.26        30
1392         827.68        29
1393         828.10        27
1394         828.51        30
1395         828.93        28
1396         829.34        29
1397         829.76        28
1398         830.18        34
1399         830.59        31
1400         831.01        28
1401         831.43        28
1402         831.84        25
1403         832.26        26
1404         832.67        25
1405         833.09        30
1406         833.51        28
1407         833.92        32
1408         834.34        26
1409         834.76        35
1410         835.17        31
1411         835.59        29
1412         836.00        28
1413         836.42        27
1414         836.84        28
1415         837.25        35
1416         837.67        27
1417         838.09        29
1418         838.50        33
1419         838.92        28
1420         839.34        31
1421         839.75        29
1422         840.17        30
1423         840.59        28
1424         841.00        31
1425         841.42        25
1426         841.84        32
1427         842.25        35
1428         842.67        34
1429         843.09        34
1430         843.50        38
1431         843.92        23
1432         844.34        35
1433         844.75        33
1434         845.17        37
1435         845.59        29
1436         846.00        29
1437         846.42        29
1438         846.84        34
1439         847.25        31
1440         847.67        31
1441         848.09        29
1442         848.51        34
1443         848.92        36
1444         849.34        34
1445         849.76        37
1446         850.17        33
1447         850.59        33
1448         851.01        33
1449         851.43        33
1450         851.84        29
1451         852.26        41
1452         852.68        33
1453         853.09        33
1454         853.51        35
1455         853.93        39
1456         854.35        35
1457         854.76        34
1458         855.18        38
1459         855.60        38
1460         856.02        32
1461         856.43        36
1462         856.85        39
1463         857.27        39
1464         857.69        35
1465         858.10        42
1466         858.52        38
1467         858.94        32
1468         859.36        36
1469         859.77        38
1470         860.19        36
1471         860.61        33
1472         861.03        39
1473         861.44        35
1474         861.86        38
1475         862.28        35
1476         862.70        38
1477         863.12        34
1478         863.53        34
1479         863.95        34
1480         864.37        34
1481         864.79        36
1482         865.20        46
1483         865.62        36
1484         866.04        38
1485         866.46        38
1486         866.88        36
1487         867.29        40
1488         867.71        37
1489         868.13        34
1490         868.55        39
1491         868.97        33
1492         869.38        38
1493         869.80        39
1494         870.22        35
1495         870.64        44
1496         871.06        37
1497         871.47        37
1498         871.89        41
1499         872.31        37
1500         872.73        38
1501         873.15        43
1502         873.57        36
1503         873.98        40
1504         874.40        41
1505         874.82        43
1506         875.24        39
1507         875.66        33
1508         876.08        42
1509         876.49        38
1510         876.91        37
1511         877.33        36
1512         877.75        36
1513         878.17        39
1514         878.59        42
1515         879.00        37
1516         879.42        39
1517         879.84        37
1518         880.26        41
1519         880.68        36
1520         881.10        38
1521         881.52        39
