Project Name : Project Name
Sample Name : Sample Name
Measurement No : 1
Measurement Time : 10/13/2021   10:45:57

Pixel   Wavelength(nm)    Intensity
 777         577.31        83
 778         577.70        86
 779         578.10        81
 780         578.50        80
 781         578.89        77
 782         579.29        83
 783         579.69        76
 784         580.08        75
 785         580.48        79
 786         580.88        74
 787         581.27        74
 788         581.67        71
 789         582.07        69
 790         582.46        70
 791         582.86        68
 792         583.26        72
 793         583.65        73
 794         584.05        68
 795         584.45        63
 796         584.84        70
 797         585.24        65
 798         585.64        67
 799         586.04        67
 800         586.43        64
 801         586.83        59
 802         587.23        59
 803         587.63        62
 804         588.02        58
 805         588.42        66
 806         588.82        60
 807         589.22        66
 808         589.61        60
 809         590.01        58
 810         590.41        59
 811         590.81        55
 812         591.20        59
 813         591.60        55
 814         592.00        60
 815         592.40        59
 816         592.80        54
 817         593.19        55
 818         593.59        57
 819         593.99        51
 820         594.39        57
 821         594.79        58
 822         595.18        55
 823         595.58        54
 824         595.98        54
 825         596.38        54
 826         596.78        53
 827         597.18        51
 828         597.57        55
 829         597.97        56
 830         598.37        55
 831         598.77        51
 832         599.17        52
 833         599.57        47
 834         599.97        55
 835         600.36        49
 836         600.76        47
 837         601.16        52
 838         601.56        51
 839         601.96        46
 840         602.36        46
 841         602.76        47
 842         603.16        45
 843         603.56        49
 844         603.95        47
 845         604.35        47
 846         604.75        44
 847         605.15        47
 848         605.55        47
 849         605.95        46
 850         606.35        47
 851         606.75        47
 852         607.15        42
 853         607.55        51
 854         607.95        42
 855         608.35        40
 856         608.75        42
 857         609.15        50
 858         609.55        44
 859         609.95        40
 860         610.35        40
 861         610.74        47
 862         611.14        47
 863         611.54        43
 864         611.94        44
 865         612.34        45
 866         612.74        40
 867         613.14        46
 868         613.54        44
 869         613.94        43
 870         614.34        42
 871         614.74        41
 872         615.14        41
 873         615.54        40
 874         615.94        34
 875         616.34        36
 876         616.74        42
 877         617.15        43
 878         617.55        35
 879         617.95        44
 880         618.35        42
 881         618.75        41
 882         619.15        40
 883         619.55        39
 884         619.95        43
 885         620.35        38
 886         620.75        33
 887         621.15        46
 888         621.55        35
 889         621.95        43
 890         622.35        38
 891         622.75        43
 892         623.15        41
 893         623.56        44
 894         623.96        36
 895         624.36        40
 896         624.76        41
 897         625.16        41
 898         625.56        39
 899         625.96        44
 900         626.36        37
 901         626.76        39
 902         627.17        40
 903         627.57        42
 904         627.97        36
 905         628.37        38
 906         628.77        37
 907         629.17        33
 908         629.57        32
 909         629.98        38
 910         630.38        32
 911         630.78        39
 912         631.18        36
 913         631.58        40
 914         631.98        39
 915         632.39        39
 916         632.79        36
 917         633.19        35
 918         633.59        38
 919         633.99        35
 920         634.39        41
 921         634.80        38
 922         635.20        33
 923         635.60        44
 924         636.00        41
 925         636.40        38
 926         636.81        40
 927         637.21        41
 928         637.61        42
 929         638.01        32
 930         638.42        37
 931         638.82        37
 932         639.22        35
 933         639.62        41
 934         640.03        40
 935         640.43        43
 936         640.83        36
 937         641.23        37
 938         641.64        41
 939         642.04        40
 940         642.44        39
