Project Name : Project Name
Sample Name : Sample Name
Measurement No : 1
Measurement Time : 10/13/2021   10:45:15

Pixel   Wavelength(nm)    Intensity
1175         738.00        55
1176         738.41        53
1177         738.82        60
1178         739.23        55
1179         739.64        54
1180         740.05        58
1181         740.47        50
1182         740.88        58
1183         741.29        51
1184         741.70        62
1185         742.11        56
1186         742.52        58
1187         742.93        58
1188         743.34        52
1189         743.75        54
1190         744.16        52
1191         744.57        51
1192         744.98        57
1193         745.39        58
1194         745.80        51
1195         746.22        53
1196         746.63        58
1197         747.04        52
1198         747.45        51
1199         747.86        53
1200         748.27        51
1201         748.68        50
1202         749.09        54
1203         749.50        50
1204         749.91        53
1205         750.33        56
1206         750.74        54
1207         751.15        56
1208         751.56        52
1209         751.97        52
1210         752.38        51
1211         752.79        53
1212         753.20        52
1213         753.62        49
1214         754.03        51
1215         754.44        50
1216         754.85        55
1217         755.26        49
1218         755.67        55
1219         756.09        53
1220         756.50        57
1221         756.91        49
1222         757.32        50
1223         757.73        49
1224         758.14        47
1225         758.56        46
1226         758.97        51
1227         759.38        45
1228         759.79        45
1229         760.20        49
1230         760.61        49
1231         761.03        43
1232         761.44        51
1233         761.85        50
1234         762.26        50
1235         762.67        48
1236         763.09        49
1237         763.50        47
1238         763.91        40
1239         764.32        52
1240         764.73        43
1241         765.15        49
1242         765.56        44
1243         765.97        46
1244         766.38        49
1245         766.80        45
1246         767.21        48
1247         767.62        42
1248         768.03        45
1249         768.45        45
1250         768.86        42
1251         769.27        46
1252         769.68        40
1253         770.10        47
1254         770.51        51
1255         770.92        37
1256         771.33        35
1257         771.75        40
1258         772.16        50
1259         772.57        47
1260         772.98        39
1261         773.40        41
1262         773.81        45
1263         774.22        50
1264         774.63        42
1265         775.05        47
1266         775.46        42
1267         775.87        43
1268         776.29        40
1269         776.70        40
1270         777.11        43
1271         777.52        46
1272         777.94        42
1273         778.35        49
1274         778.76        36
1275         779.18        44
1276         779.59        43
1277         780.00        43
1278         780.42        38
1279         780.83        44
1280         781.24        38
1281         781.66        38
1282         782.07        46
1283         782.48        42
1284         782.90        43
1285         783.31        34
1286         783.72        36
1287         784.14        33
1288         784.55        33
1289         784.96        40
1290         785.38        42
1291         785.79        36
1292         786.20        43
1293         786.62        41
1294         787.03        38
1295         787.44        37
1296         787.86        37
1297         788.27        42
1298         788.69        42
1299         789.10        38
1300         789.51        38
1301         789.93        37
1302         790.34        37
1303         790.75        41
1304         791.17        37
1305         791.58        44
1306         792.00        42
1307         792.41        37
1308         792.82        39
1309         793.24        37
1310         793.65        41
1311         794.07        37
1312         794.48        42
1313         794.89        39
1314         795.31        42
1315         795.72        39
1316         796.14        41
1317         796.55        42
1318         796.96        39
1319         797.38        39
1320         797.79        36
1321         798.21        43
1322         798.62        42
1323         799.04        42
1324         799.45        45
1325         799.86        44
1326         800.28        39
1327         800.69        38
1328         801.11        36
1329         801.52        42
1330         801.94        46
1331         802.35        42
1332         802.77        39
1333         803.18        47
1334         803.59        46
1335         804.01        40
1336         804.42        48
1337         804.84        43
1338         805.25        43
